game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype
CHA192504220,"""version 7RS(19) of 07/07/92""",DET,CHA,1925/04/22,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/06 8:13AM,hildg101,rowlp801,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,overcast,109,28000,thurs101,collr104,,,
CHA192504230,"""version 7RS(19) of 07/07/92""",DET,CHA,1925/04/23,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/06 12:14PM,rowlp801,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,106,15000,robec101,daush101,,,
CHA192504240,"""version 7RS(19) of 07/07/92""",DET,CHA,1925/04/24,CHI10,0,0:00PM,day,false,"""56,111,277""","""Jim Herdman""","""Jim Herdman""",2020/09/06 8:58AM,evanb901,hildg101,(none),rowlp801,unknown,none,0,unknown,-1,dry,none,cloudy,119,0,conns101,welle101,lyont102,,
CHA192504250,"""version 7RS(19) of 07/07/92""",DET,CHA,1925/04/25,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/06 8:02PM,hildg101,rowlp801,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,112,25000,faber101,white102,,,
CHA192504260,"""version 7RS(19) of 07/07/92""",CLE,CHA,1925/04/26,CHI10,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1996/10/16 7:40PM,rowlp801,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,132,44000,smits102,thurs101,,,
CHA192504270,"""version 7RS(19) of 07/07/92""",CLE,CHA,1925/04/27,CHI10,0,0:00PM,day,false,"""39,109""","""DWV""","""DWV""",1996/10/16 8:13PM,evanb901,hildg101,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,139,15000,robec101,buckg101,lyont102,,
CHA192504280,"""version 7RS(19) of 07/07/92""",CLE,CHA,1925/04/28,CHI10,0,0:00PM,day,false,"""39,109""","""DWV""","""DWV""",1996/10/16 9:03PM,hildg101,rowlp801,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,120,0,uhleg101,blant101,,,
CHA192505010,"""version 7RS(19) of 07/07/92""",SLA,CHA,1925/05/01,CHI10,0,0:00PM,day,false,"""128""","""DWV""","""DWV""",1996/12/26 3:43PM,rowlp801,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,129,7000,thurs101,bushj102,lyont102,,
CHA192505020,"""version 7RS(19) of 07/07/92""",SLA,CHA,1925/05/02,CHI10,0,0:00PM,day,false,"""128,109""","""DWV""","""DWV""",1996/12/26 4:26PM,evanb901,hildg101,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,104,12000,faber101,danfd101,,,
CHA192505030,"""version 7RS(19) of 07/07/92""",SLA,CHA,1925/05/03,CHI10,0,0:00PM,day,false,"""208,102""","""Cliff Blau""","""Cliff Blau""",2020/09/07 1:15PM,hildg101,rowlp801,(none),evanb901,unknown,none,0,unknown,-1,unknown,none,overcast,90,30000,winge102,robec101,,,
CHA192505080,"""version 7RS(19) of 07/07/92""",WS1,CHA,1925/05/08,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/06 9:58PM,ormsr901,mcgob901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,135,17000,lyont102,mogrg101,,,
CHA192505090,"""version 7RS(19) of 07/07/92""",WS1,CHA,1925/05/09,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/07 8:08AM,mcgob901,dinnb101,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,89,25000,coves101,robec101,,,
CHA192505100,"""version 7RS(19) of 07/07/92""",WS1,CHA,1925/05/10,CHI10,0,0:00PM,day,false,"""111,222,408a""","""Rob Wood""","""Rob Wood""",2020/09/19 3:11PM,dinnb101,ormsr901,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,188,40000,lyont102,gregv101,,,
CHA192505110,"""version 7RS(19) of 07/07/92""",WS1,CHA,1925/05/11,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/07 8:50AM,ormsr901,mcgob901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,109,10000,johnw102,blant101,,,
CHA192505120,"""version 7RS(19) of 07/07/92""",NYA,CHA,1925/05/12,CHI10,0,0:00PM,day,false,"""109,65""","""DWV""","""DWV""",1996/05/26 10:09AM,mcgob901,ormsr901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,125,8000,thurs101,shocu101,,,
CHA192505130,"""version 7RS(19) of 07/07/92""",NYA,CHA,1925/05/13,CHI10,0,0:00PM,day,false,"""109,65""","""DWV""","""DWV""",1996/05/26 11:10AM,dinnb101,ormsr901,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,96,6000,robec101,hoytw101,,,
CHA192505140,"""version 7RS(19) of 07/07/92""",NYA,CHA,1925/05/14,CHI10,0,0:00PM,day,false,"""109,65""","""DWV""","""DWV""",1996/05/26 6:36PM,ormsr901,mcgob901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,99,4000,lyont102,pennh101,,,
CHA192505150,"""version 7RS(19) of 07/07/92""",NYA,CHA,1925/05/15,CHI10,0,0:00PM,day,false,"""109,65""","""DWV""","""DWV""",1996/05/27 2:58PM,mcgob901,ormsr901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,133,10000,jones104,cvenm101,hoytw101,,
CHA192505170,"""version 7RS(19) of 07/07/92""",PHA,CHA,1925/05/17,CHI10,0,0:00PM,day,false,"""111,266""","""Rob Wood""","""Rob Wood""",2020/09/09 9:05PM,connt901,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,112,27000,grays102,faber101,,,
CHA192505180,"""version 7RS(19) of 07/07/92""",PHA,CHA,1925/05/18,CHI10,0,0:00PM,day,false,"""109,349,111""","""DWV""","""DWV""",1997/02/22 3:15PM,nalld901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,177,8000,thurs101,grovl101,,,
CHA192505190,"""version 7RS(19) of 07/07/92""",PHA,CHA,1925/05/19,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/22 3:32PM,connt901,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,106,15000,lyont102,romme101,,,
CHA192505200,"""version 7RS(19) of 07/07/92""",BOS,CHA,1925/05/20,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/22 4:14PM,nalld901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,140,5000,robec101,wingt101,conns101,,
CHA192505210,"""version 7RS(19) of 07/07/92""",BOS,CHA,1925/05/21,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/24 12:05PM,connt901,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,148,0,rossb103,blant101,ruffr101,,
CHA192505230,"""version 7RS(19) of 07/07/92""",BOS,CHA,1925/05/23,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/24 12:33PM,nalld901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,0,quinj102,thurs101,,,
CHA192505260,"""version 7RS(19) of 07/07/92""",DET,CHA,1925/05/26,CHI10,0,0:00PM,day,false,"""109""","""DWV""","""DWV""",1997/02/24 4:17PM,owenb901,morig101,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,115,0,leond102,lyont102,,,
